,description,cellline,genotype,exp
KDM5A_2A3_1_D0,KDM5A_2A3_1_D0,KDM5A_2A3,K1509X/+,KDM5A_het
KDM5A_2A3_2_D0,KDM5A_2A3_2_D0,KDM5A_2A3,K1509X/+,KDM5A_het
KDM5A_2H3_1_D0,KDM5A_2H3_1_D0,KDM5A_2H3,R1508W/+-,KDM5A_mis
KDM5A_2H3_2_D0,KDM5A_2H3_2_D0,KDM5A_2H3,R1508W/+-,KDM5A_mis
KDM5A_2H3_3_D0,KDM5A_2H3_3_D0,KDM5A_2H3,R1508W/+-,KDM5A_mis
PGP1_1_D0,PGP1_1_D0,PGP1,wt,wt
PGP1_2_D0,PGP1_2_D0,PGP1,wt,wt
PGP1_22_D0,PGP1_22_D0,PGP1,wt,wt
PGP1_3_D0,PGP1_3_D0,PGP1,wt,wt
PGP1_4_D0,PGP1_4_D0,PGP1,wt,wt
KDM5B_B9_1_D0,KDM5B_B9_1_D0,KDM5B_B9,V603X/V206X,KDM5B_homo
KDM5B_B9_2_D0,KDM5B_B9_2_D0,KDM5B_B9,V603X/V206X,KDM5B_homo
KDM5B_H4_1_D0,KDM5B_H4_1_D0,KDM5B_H4,V603X/+,KDM5B_het
KDM5B_H4_2_D0,KDM5B_H4_2_D0,KDM5B_H4,V603X/+,KDM5B_het
PGP1_RP_D0,PGP1_RP_D0,PGP1,wt,wt
